"Time Frame","Date","Ta (°C)","Tm (°C)","I3 (W/m2)","I15 (W/m2)","P (kW)","","",""
"16","3/5/12 4:55 PM","13.009","12.05","52.46625","53.07541666666666","6.495125000000001","","",""
"17","3/5/12 5:55 PM","11.807","8.497499999999999","10.40933333333333","10.94583333333333","0.00755","","",""
"18","3/5/12 6:55 PM","10.325","5.682833333333334","0","0","0","","",""
"19","3/5/12 7:55 PM","9.662000000000001","4.668833333333333","0","0","0","","",""
"20","3/5/12 8:55 PM","8.913666666666668","3.821166666666667","0","0","0","","",""
"21","3/5/12 9:45 PM","8.045999999999999","2.9654","0","0","0","","",""
"22","0","0","0","0","0","0","","",""
"23","0","0","0","0","0","0","","",""
"24","0","0","0","0","0","0","","",""
"1","0","0","0","0","0","0","","",""
"2","0","0","0","0","0","0","","",""
"3","3/6/12 3:55 AM","4.9","1.3","0","0","0","","",""
"4","3/6/12 4:55 AM","4.7055","1.424666666666667","0","0","0","","",""
"5","3/6/12 5:55 AM","4.75","1.219","22.08983333333333","25.60983333333333","14.75265","","",""
"6","3/6/12 6:55 AM","5.078666666666667","2.003166666666667","153.4276666666667","186.6083333333334","127.1630833333333","","",""
"7","3/6/12 7:55 AM","7.105","5.859666666666667","323.2138333333335","399.0231666666668","302.4557000000001","","",""
"8","3/6/12 8:55 AM","10.76","16.7475","537.3063333333336","627.3845","504.2257333333334","","",""
"9","3/6/12 9:55 AM","14.979","27.10816666666667","444.5533333333335","545.2656666666669","409.7023500000001","","",""
"10","3/6/12 10:55 AM","16.50533333333333","33.09066666666667","575.4256666666666","645.6154999999998","521.7524333333333","","",""
"11","3/6/12 11:55 AM","17.66416666666666","35.36666666666667","391.6356666666667","452.4520000000001","379.09365","","",""
"12","3/6/12 12:55 PM","17.66316666666667","28.595","414.1451666666665","529.1498333333334","352.5185166666667","","",""
"13","3/6/12 1:55 PM","17.5715","26.72933333333333","560.7076666666666","646.9453333333332","519.7916","","",""
"14","3/6/12 2:55 PM","17.81416666666667","31.28183333333333","276.1431666666666","299.5493333333334","240.6078666666666","","",""
"15","3/6/12 3:55 PM","16.54116666666667","22.95333333333333","156.1210526315789","164.1410526315789","135.164052631579","","",""
"16","3/6/12 4:15 PM","15.5","17.8935","15.91966666666666","16.89700000000001","12.97434999999999","","",""
"17","3/6/12 5:57 PM","13.1795","10.36366666666667","0","0","0","","",""
"18","3/6/12 6:57 PM","11.9885","7.481166666666667","0","0","0","","",""
"19","3/6/12 7:57 PM","11.634","8.025166666666667","0","0","0","","",""
"20","3/6/12 8:57 PM","10.9335","6.302333333333333","0","0","0","","",""
"21","3/6/12 9:47 PM","10.4874","5.713200000000001","0","0","0","","",""
"22","0","0","0","0","0","0","","",""
"23","0","0","0","0","0","0","","",""
"24","0","0","0","0","0","0","","",""
"1","0","0","0","0","0","0","","",""
"2","0","0","0","0","0","0","","",""
"3","0","0","0","0","0","0","","",""
"4","3/7/12 4:56 AM","8.147833333333333","4.324666666666666","0","0","0","","",""
"5","3/7/12 5:56 AM","8.315666666666667","4.751833333333333","24.36318181818182","26.27295454545454","16.82213636363636","","",""
"6","3/7/12 6:54 AM","8.350249999999999","4.32625","155.5421666666667","181.4151666666667","139.2253666666666","","",""
"7","3/7/12 7:54 AM","9.851666666666667","7.804166666666666","309.4534999999998","375.9668333333335","293.9393833333335","","",""
"8","3/7/12 8:54 AM","11.90266666666667","14.08866666666667","548.4306666666668","645.9846666666665","511.9269000000001","","",""
"9","3/7/12 9:54 AM","14.1315","24.8095","639.5715","709.907","571.0051166666668","","",""
"10","3/7/12 10:54 AM","15.57383333333333","29.0105","706.1861666666666","781.528","639.3058833333337","","",""
"11","3/7/12 11:54 AM","17.00283333333333","38.76216666666667","370.6546666666666","301.1439999999999","335.8252666666667","","",""
"12","3/7/12 12:54 PM","17.189","28.09266666666667","159.399","167.0246666666667","142.9944166666668","","",""
"13","3/7/12 1:54 PM","15.3955","17.72","68.9765","65.6335","59.63633333333333","","",""
"14","3/7/12 2:54 PM","13.755","13.93466666666667","40.47933333333333","43.44983333333332","33.88961666666668","","",""
"15","3/7/12 3:54 PM","13.15516666666667","11.57816666666667","18.63633333333333","17.83066666666666","13.98176666666667","","",""
"16","3/7/12 4:54 PM","13.05433333333333","11.62883333333333","3.06","3.4775","2.546733333333332","","",""
"17","3/7/12 5:54 PM","12.76783333333333","11.01166666666666","0","0","0","","",""
"18","3/7/12 6:54 PM","12.19133333333333","9.520333333333333","0","0","0","","",""
"19","3/7/12 7:54 PM","11.63583333333333","8.026666666666666","0","0","0","","",""
"20","3/7/12 8:54 PM","11.35233333333333","8.107333333333333","0","0","0","","",""
"21","3/7/12 9:54 PM","11.03633333333333","8.189500000000001","0","0","0","","",""
"22","0","0","0","0","0","0","","",""
"23","0","0","0","0","0","0","","",""
"24","0","0","0","0","0","0","","",""
"1","0","0","0","0","0","0","","",""
"2","0","0","0","0","0","0","","",""
"3","0","0","0","0","0","0","","",""
"4","3/8/12 4:54 AM","11.37933333333333","9.668333333333335","0","0","0","","",""
"5","3/8/12 5:54 AM","11.09533333333333","10.06966666666667","0","0","0","","",""
"6","3/8/12 6:54 AM","10.7895","10.22116666666667","2.2565","2.109666666666667","0.8877166666666667","","",""
"7","3/8/12 7:54 AM","10.2325","9.827833333333333","102.2505","101.3955","79.22546666666668","","",""
"8","3/8/12 8:54 AM","10.9755","10.1035","259.331","285.2853333333334","237.0225166666667","","",""
"9","3/8/12 9:54 AM","12.1695","14.539","440.1471666666666","425.2860000000001","379.4532833333333","","",""
"10","3/8/12 10:54 AM","14.36083333333333","20.8185","575.0285000000001","610.3663333333332","504.7698333333334","","",""
"11","3/8/12 11:54 AM","15.6775","25.18483333333333","537.8454999999999","662.1185000000003","469.1977999999998","","",""
"12","3/8/12 12:54 PM","17.3585","30.12783333333334","496.6968333333332","531.1483333333334","435.1451499999999","","",""
"13","3/8/12 1:54 PM","18.52866666666667","30.0815","446.4411666666668","473.3485","393.2717333333332","","",""
"14","3/8/12 2:54 PM","18.39","28.90233333333333","198.5911666666667","234.5531666666666","182.7285000000001","","",""
"15","3/8/12 3:54 PM","17.1285","22.25183333333333","164.466","159.296","124.5199666666667","","",""
"16","3/8/12 4:54 PM","15.825","17.32833333333333","48.33983333333335","47.77549999999999","36.75556666666668","","",""
"17","3/8/12 5:54 PM","14.70566666666667","14.31266666666667","0","0","0","","",""
"18","3/8/12 6:54 PM","13.4825","10.811","0","0","0","","",""
"19","3/8/12 7:54 PM","13.05216666666667","10.34333333333333","0","0","0","","",""
"20","3/8/12 8:54 PM","13.15166666666667","11.20666666666667","0","0","0","","",""
"21","3/8/12 9:54 PM","12.69483333333333","10.01316666666666","0","0","0","","",""
"22","0","0","0","0","0","0","","",""
"23","0","0","0","0","0","0","","",""
"24","0","0","0","0","0","0","","",""
"1","0","0","0","0","0","0","","",""
"2","0","0","0","0","0","0","","",""
"3","0","0","0","0","0","0","","",""
"4","3/9/12 4:54 AM","10.6404","6.2986","0","0","0","","",""
"5","3/9/12 5:54 AM","9.658833333333334","5.188833333333333","24.05916666666667","49.66250000000001","18.74906666666667","","",""
